"Date","PepsiCo Quarterly Revenue"
2016-09-01,4950722850.30464
2016-10-01,5244430712.57616
2016-11-01,5831846437.1192
2016-12-01,6712970023.93376
2017-01-01,6777273402.68708
2017-02-01,6024756573.37916
2017-03-01,4455419536.01
2017-04-01,3733770624.66021
2017-05-01,3859809839.32978
2017-06-01,4833537180.01872
2017-07-01,5379316130.17692
2017-08-01,5497146689.80437
2017-09-01,5187028858.90108
2017-10-01,5279227756.99945
2017-11-01,5773743384.09947
2017-12-01,6670575740.20116
2018-01-01,6773352024.07571
2018-02-01,6082072235.72313
2018-03-01,4596736375.14343
2018-04-01,3918350128.64093
2018-05-01,4046913496.21564
2018-06-01,4982426477.86756
2018-07-01,5501984864.87987
2018-08-01,5605588657.25257
2018-09-01,5293237854.98565
2018-10-01,5366471763.17968
2018-11-01,5825290381.83466
2018-12-01,6669693710.95057
2019-01-01,6759524260.01662
2019-02-01,6094782029.0328
2019-03-01,4675467017.99912
2019-04-01,4035038001.74136
2019-05-01,4173494980.25952
2019-06-01,5090837953.55361
2019-07-01,5614295231.71192
2019-08-01,5743866814.73447
2019-09-01,5479552702.62124
2019-10-01,5600809647.627
2019-11-01,6107637649.75176
2019-12-01,7000036708.9955
2020-01-01,7133108942.05981
2020-02-01,6506854348.94469
2020-03-01,5121272929.65014
2020-04-01,4404172877.5889
2020-05-01,4355554192.76097
2020-06-01,4975416875.16636
2020-07-01,5385069889.39294
2020-08-01,5584513235.4407
2020-09-01,5573746913.30966
2020-10-01,5913495147.79465
2020-11-01,6603757938.89569
2020-12-01,7644535286.61277
2021-01-01,7785078158.58246
2021-02-01,7025386554.80477
2021-03-01,5365460475.2797
2021-04-01,4631383598.93866
2021-05-01,4823155925.78164
2021-06-01,5940777455.80863
2021-07-01,6568849746.45891
2021-08-01,6707372797.73246
2021-09-01,6356346609.62928
2021-10-01,6548580105.38153
2021-11-01,7284073284.98919
2021-12-01,8562826148.45227
2022-01-01,8772394752.97884
2022-02-01,7912779098.56889
2022-03-01,5983979185.22243
2022-04-01,5063794817.96899
2022-05-01,5152225996.80858
2022-06-01,6249272721.74119
2022-07-01,6892829861.66845
2022-08-01,7082897416.59036
2022-09-01,6819475386.50692
2022-10-01,7131763339.10587
2022-11-01,8019761274.38722
2022-12-01,9483469192.35097
2023-01-01,9735794277.57869
2023-02-01,8776736530.07035
2023-03-01,6606295949.82598
2023-04-01,5570463842.39541
2023-05-01,5669240207.77861
2023-06-01,6902625045.97562
2023-07-01,7614502471.04316
2023-08-01,7804872482.98122
2023-09-01,7473735081.7898
2023-10-01,7648899420.1496
2023-11-01,8330365498.0606
2023-12-01,9518133315.52281
2024-01-01,9638975283.24626
2024-02-01,8692891401.23093
2024-03-01,6679881669.47684
2024-04-01,5729217984.43069
2024-05-01,5840900346.09248
2024-06-01,7014928754.46222
2024-07-01,7672489290.70799
2024-08-01,7813581954.82978
2024-09-01,7438206746.82759
2024-10-01,7595457884.70635
2024-11-01,8285335368.46606
2024-12-01,9507839198.10672
2025-01-01,9628585756.93684
2025-02-01,8647575044.95644
2025-03-01,6564807062.16551
2025-04-01,5600259769.84365
2025-05-01,5753933167.99085
2025-06-01,7025827256.60712
2025-07-01,7755930336.30585
2025-08-01,7944242407.08703
2025-09-01,7590763468.95065
2025-10-01,7793571132.70357
2025-11-01,8552665398.34577
2025-12-01,9868046265.87726
2026-01-01,10131606783.3522
2026-02-01,9343346950.77055
2026-03-01,7503266768.13234
2026-04-01,6276546646.37353
2026-05-01,5663186585.49413
